,City,Colors Reported,Shape Reported,State,Time
3986,Ukiah,,SPHERE,CA,1978-11-27 19:00:00
3987,Ukiah,,SPHERE,CA,1978-11-27 20:00:00
3988,Arvana,,DISK,TX,1978-11-28 00:00:00
3989,Arvana-Lamesa,,DISK,TX,1978-11-28 18:00:00
3990,Mt. Rainier National Park,,,WA,1978-11-29 03:00:00
3991,Deer Park,,DISK,WA,1978-11-30 08:00:00
3992,Rockland County,,,NY,1978-12-01 01:00:00
3993,Edison,,OTHER,NJ,1978-12-01 01:30:00
3994,Ringwood,,TRIANGLE,NJ,1978-12-09 19:00:00
3995,Mexico,,DISK,PA,1978-12-10 01:00:00
3996,Lake Don Pedro,,RECTANGLE,CA,1978-12-15 14:00:00
3997,Sisters,,OTHER,OR,1978-12-15 20:00:00
3998,Huntington Park,,DISK,CA,1978-12-20 17:00:00
3999,Seattle,,DISK,WA,1978-12-20 18:00:00
4000,Helmetta,,CIRCLE,NJ,1978-12-20 19:00:00
4001,Valdosta,,CHEVRON,GA,1978-12-23 21:30:00
4002,Indianapolis,RED,DISK,IN,1978-12-23 22:00:00
4003,Hopewell,,DISK,NJ,1978-12-31 00:30:00
4004,Hwy 80,,DISK,CA,1979-01-01 02:00:00
4005,Orange,,DISK,CA,1979-01-01 17:00:00
4006,Redondo Beach,RED,DISK,CA,1979-01-01 20:00:00
4007,Norman,,,OK,1979-01-02 03:00:00
4008,Key West,,DISK,FL,1979-01-09 14:30:00
4009,Los Angeles,,FIREBALL,CA,1979-01-15 17:00:00
4010,Clines Corners,,TRIANGLE,NM,1979-01-15 20:00:00
4011,Salt Lake City,,TRIANGLE,UT,1979-01-15 20:30:00
4012,Houston,,RECTANGLE,TX,1979-01-31 11:00:00
4013,Lake Arrowhead,,CIRCLE,CA,1979-02-01 02:30:00
4014,Tallmadge,,TRIANGLE,OH,1979-02-05 21:00:00
4015,Helena,,DISK,MT,1979-02-10 09:30:00
4016,Huntersville,,OVAL,NC,1979-02-10 23:00:00
4017,Louden County,,DISK,VA,1979-02-11 14:00:00
4018,Alexandria,,LIGHT,VA,1979-02-13 01:00:00
4019,Grover Beach,,OTHER,CA,1979-02-15 21:30:00
4020,Pismo Beach,,TRIANGLE,CA,1979-02-20 02:00:00
4021,Tallmadge,,TRIANGLE,OH,1979-02-25 21:00:00
4022,Medford,,,OR,1979-03-01 04:00:00
4023,Downey,,CHEVRON,CA,1979-03-01 23:29:00
4024,Buies Creek,,DISK,NC,1979-03-10 02:00:00
4025,California Hot Springs,,DISK,CA,1979-03-10 20:00:00
4026,Lee's Summit,,FLASH,MO,1979-03-11 16:00:00
4027,Woodinville,,LIGHT,WA,1979-03-15 19:00:00
4028,Baker City,,CIGAR,OR,1979-03-24 22:00:00
4029,Big Sur,,TRIANGLE,CA,1979-03-25 20:00:00
4030,North Webster,,OTHER,IN,1979-03-25 23:50:00
4031,Middletown,,DISK,PA,1979-03-29 05:30:00
4032,Between Jackson Fla.,,CIRCLE,GA,1979-03-30 22:00:00
4033,Middletown,,OVAL,PA,1979-03-31 06:10:00
4034,Salinas,,DISK,CA,1979-04-01 17:00:00
4035,Berkeley,,RECTANGLE,CA,1979-04-01 21:00:00
4036,Thomasville,RED,TRIANGLE,NC,1979-04-01 22:00:00
4037,West Milford,,DISK,NJ,1979-04-02 00:00:00
4038,Dallas,BLUE,LIGHT,TX,1979-04-04 06:00:00
4039,Portland,,TRIANGLE,OR,1979-04-04 13:00:00
4040,East Providence,,CHEVRON,RI,1979-04-12 22:00:00
4041,Jupiter,,LIGHT,FL,1979-04-13 02:00:00
4042,Jacksonville,,OTHER,TX,1979-04-15 03:00:00
4043,Monterey,,RECTANGLE,NY,1979-04-15 08:00:00
4044,Kenton,,FORMATION,MI,1979-04-15 10:00:00
4045,Lexington,,TRIANGLE,NC,1979-04-15 21:00:00
4046,North Brunswick,,CIRCLE,NJ,1979-04-15 22:50:00
4047,New Brunswick,,DISK,NJ,1979-04-20 14:00:00
4048,Gainesville,,FIREBALL,FL,1979-05-01 21:00:00
4049,Marlboro,YELLOW,CIRCLE,NJ,1979-05-05 16:00:00
4050,Kerrville,,DIAMOND,TX,1979-05-05 20:30:00
4051,Watson,,DISK,LA,1979-05-06 01:00:00
4052,Panama City Beach,,LIGHT,FL,1979-05-06 21:00:00
4053,Wordens Pond Road,,DISK,RI,1979-05-15 01:00:00
4054,Albuquerque,,CIRCLE,NM,1979-05-15 02:00:00
4055,Sanderville,,OVAL,MS,1979-05-15 14:30:00
4056,Omaha,,TRIANGLE,NE,1979-05-15 20:00:00
4057,San Antonio,,OTHER,TX,1979-05-15 20:30:00
4058,Bradford,,CIRCLE,PA,1979-05-18 10:00:00
4059,Brady,,,TX,1979-05-21 21:00:00
4060,Baltic,,TRIANGLE,SD,1979-05-22 21:00:00
4061,Daytona,,DISK,FL,1979-05-26 17:30:00
4062,Minot,,RECTANGLE,ND,1979-06-01 00:00:00
4063,Tatum,,LIGHT,TX,1979-06-01 05:00:00
4064,Cleveland,,CROSS,OH,1979-06-01 16:00:00
4065,Laredo,,CIRCLE,TX,1979-06-01 16:00:00
4066,Alameda,,DISK,CA,1979-06-01 18:00:00
4067,Morrice,,DISK,MI,1979-06-01 18:45:00
4068,Ithaca,,CIGAR,NY,1979-06-01 19:00:00
4069,Margate,,OVAL,FL,1979-06-01 20:00:00
4070,Mesa,,OTHER,AZ,1979-06-01 20:30:00
4071,Fredericksburg,,OTHER,VA,1979-06-01 21:00:00
4072,Griffin,,DISK,GA,1979-06-01 21:00:00
4073,Knoxville,,LIGHT,TN,1979-06-01 21:00:00
4074,Victory Heights,,LIGHT,PA,1979-06-01 21:00:00
4075,Whitman,,SPHERE,MA,1979-06-01 21:00:00
4076,Wilsonville,,CIRCLE,IL,1979-06-01 21:15:00
4077,Castro Valley,,RECTANGLE,CA,1979-06-01 22:00:00
4078,Court House Bay,,LIGHT,NC,1979-06-01 22:00:00
4079,Farmington,,RECTANGLE,NY,1979-06-01 22:00:00
4080,Hollister,,EGG,CA,1979-06-01 22:00:00
4081,Whidbey Island,,CIRCLE,WA,1979-06-01 22:00:00
4082,Marion,,TRIANGLE,IN,1979-06-01 23:00:00
4083,Attica,,DISK,MI,1979-06-01 23:40:00
4084,Paterson,,OTHER,NJ,1979-06-05 18:30:00
4085,Green Township,,OTHER,PA,1979-06-08 00:00:00
4086,Huntington,,,NY,1979-06-10 19:00:00
4087,Sagamore Hills,,,OH,1979-06-15 03:00:00
4088,Los Angeles,,,CA,1979-06-15 04:30:00
4089,Dorchester,YELLOW,OTHER,IA,1979-06-15 14:00:00
4090,Baton Rouge,,DISK,LA,1979-06-15 15:00:00
4091,Woodland,,,WA,1979-06-15 15:00:00
4092,Fort Worth,,TEARDROP,TX,1979-06-15 17:00:00
4093,Manteca,BLUE,DISK,CA,1979-06-15 19:00:00
4094,Oquawka,,RECTANGLE,IL,1979-06-15 19:00:00
4095,Baton Rouge,,DISK,LA,1979-06-15 19:30:00
4096,San Jose,,DISK,CA,1979-06-15 20:00:00
4097,Huntsville,RED YELLOW,OVAL,TN,1979-06-15 21:00:00
4098,Jonesboro,,,AR,1979-06-15 23:00:00
4099,Napa,,TRIANGLE,CA,1979-06-16 23:30:00
4100,Terre Haute,,VARIOUS,IN,1979-06-20 13:00:00
4101,Orlando,,CIRCLE,FL,1979-06-20 18:00:00
4102,Valley Cottage,,DISK,NY,1979-06-20 20:00:00
4103,Bohemia,,LIGHT,NY,1979-06-20 23:30:00
4104,Las Vegas,BLUE,,NV,1979-06-23 00:00:00
4105,Two Rivers,,CIGAR,WI,1979-06-26 00:00:00
4106,St. Paul,YELLOW,LIGHT,MN,1979-06-29 22:45:00
4107,Leola,GREEN,LIGHT,PA,1979-06-30 01:00:00
4108,Richmond,,FORMATION,ME,1979-06-30 20:00:00
4109,Columbia City,,TRIANGLE,IN,1979-06-30 21:00:00
4110,Ramona,GREEN,LIGHT,CA,1979-06-30 21:00:00
4111,Wilsonville,,CIRCLE,IL,1979-06-30 21:00:00
4112,Janesville,,FIREBALL,IL,1979-06-30 23:00:00
4113,Sunnyvale,GREEN,,CA,1979-06-30 23:30:00
4114,Florence,,DISK,MS,1979-07-01 00:00:00
4115,Maxwelton Beach,,CIRCLE,WA,1979-07-01 00:00:00
4116,Chico,,OTHER,CA,1979-07-01 01:00:00
4117,Chico,,RECTANGLE,CA,1979-07-01 03:00:00
4118,East Orange,,DISK,NJ,1979-07-01 10:00:00
4119,Desert Center,,LIGHT,CA,1979-07-01 18:00:00
4120,Whitman,,DISK,MA,1979-07-01 19:00:00
4121,Whitman,,DISK,MA,1979-07-01 19:00:00
4122,Houghton Lake,,LIGHT,MI,1979-07-01 23:00:00
4123,Syracuse,,LIGHT,NY,1979-07-04 23:00:00
4124,Tampa,,DISK,FL,1979-07-05 02:30:00
4125,Pichacho Peak,,OTHER,AZ,1979-07-06 10:00:00
4126,Pasadena,,FORMATION,MD,1979-07-10 19:00:00
4127,Kansas City,RED,CYLINDER,MO,1979-07-11 02:00:00
4128,Santa Clarita,,DISK,CA,1979-07-13 22:00:00
4129,Honeoye Falls,,CIGAR,NY,1979-07-14 08:00:00
4130,Arcadia,,CIGAR,WI,1979-07-15 01:30:00
4131,Cumberland,,OTHER,KY,1979-07-15 01:30:00
4132,Clackamas,,LIGHT,OR,1979-07-15 07:30:00
4133,Hattiesburg,,,MS,1979-07-15 12:00:00
4134,Fairmount,,CIGAR,IN,1979-07-15 14:00:00
4135,Lansing,,OTHER,MI,1979-07-15 14:00:00
4136,Yorktown,,CIGAR,IN,1979-07-15 14:00:00
4137,Apple Valley,,SPHERE,CA,1979-07-15 14:30:00
4138,La Habra,,TRIANGLE,CA,1979-07-15 19:00:00
4139,Louisville,,DISK,KY,1979-07-15 21:30:00
4140,Rancho Palos Verdes,,CHEVRON,CA,1979-07-15 21:30:00
4141,Ranger,,TRIANGLE,WV,1979-07-15 21:30:00
4142,Yakima,,OTHER,WA,1979-07-15 22:30:00
4143,N. Cascades Nat. Park,GREEN,LIGHT,WA,1979-07-15 23:00:00
4144,Arnheim,,TRIANGLE,MI,1979-07-16 12:00:00
4145,Niagara Falls,,LIGHT,NY,1979-07-18 21:00:00
4146,Saginaw,,,MI,1979-07-25 15:00:00
4147,Hayti,,TRIANGLE,MO,1979-07-28 22:30:00
4148,Ocala,,VARIOUS,FL,1979-07-29 02:00:00
4149,Boone,,CYLINDER,NC,1979-07-30 22:00:00
4150,Fort Valley,,SPHERE,GA,1979-08-01 00:00:00
4151,Twenty Nine Palms,,,CA,1979-08-01 00:00:00
4152,North Miami Beach,,OTHER,FL,1979-08-01 19:00:00
4153,Little Falls,,FIREBALL,NY,1979-08-01 21:00:00
4154,Omaha,,TRIANGLE,NE,1979-08-01 22:00:00
4155,Springfield,,RECTANGLE,MA,1979-08-01 22:00:00
4156,Tinley Park,,LIGHT,IL,1979-08-10 21:00:00
4157,New Londons,,TRIANGLE,WI,1979-08-10 21:45:00
4158,Lee Vining,,DISK,CA,1979-08-14 01:30:00
4159,La Habra,ORANGE GREEN,OVAL,CA,1979-08-15 00:00:00
4160,Mammoth Lakes,,CIRCLE,CA,1979-08-15 01:00:00
4161,Bistolville,,TRIANGLE,OH,1979-08-15 01:30:00
4162,Campbellsville,,OVAL,KY,1979-08-15 17:00:00
4163,West New York,,DISK,NJ,1979-08-15 18:00:00
4164,Wenatchee,,TRIANGLE,WA,1979-08-15 22:00:00
4165,Beach Haven Terrace,,FIREBALL,NJ,1979-08-15 22:10:00
4166,Gaithersburg,,CIRCLE,MD,1979-08-15 23:00:00
4167,Phoenix,,SPHERE,AZ,1979-08-17 20:30:00
4168,Painesville,,TRIANGLE,OH,1979-08-17 21:37:00
4169,Clay City,,SPHERE,KY,1979-08-19 22:50:00
4170,Dekalb,RED,FIREBALL,IL,1979-08-20 19:00:00
4171,Phoenix,,DISK,AZ,1979-08-20 21:00:00
4172,Lake Wateree,,LIGHT,SC,1979-08-22 21:00:00
4173,Cass City,,DISK,MI,1979-08-25 12:36:00
4174,North Platte,BLUE,OTHER,NE,1979-08-25 22:00:00
4175,Stone Mountain,,TRIANGLE,GA,1979-08-25 22:00:00
4176,Chicago,,VARIOUS,IL,1979-08-28 02:45:00
4177,Rockford,,DISK,IL,1979-09-01 00:05:00
4178,Crowley,,,LA,1979-09-01 02:00:00
4179,New York City,,DISK,NY,1979-09-01 19:30:00
4180,Commack,,OTHER,NY,1979-09-01 20:00:00
4181,Farmville,,DISK,VA,1979-09-01 20:00:00
4182,Greenville,,TRIANGLE,PA,1979-09-01 20:00:00
4183,Kenna,,CIRCLE,WV,1979-09-01 20:00:00
4184,Spotsylvania,,OTHER,VA,1979-09-01 20:00:00
4185,Carrollton,,SPHERE,MO,1979-09-01 21:30:00
4186,Rockford,,FORMATION,IL,1979-09-01 22:00:00
4187,Sickles,,TRIANGLE,OK,1979-09-01 22:00:00
4188,Lake Conroe,,CIRCLE,TX,1979-09-01 23:59:00
4189,Mount Wilson Observatory,,SPHERE,CA,1979-09-09 22:00:00
4190,Honolulu,BLUE,SPHERE,IL,1979-09-12 04:00:00
4191,East New York,,DISK,NJ,1979-09-15 17:00:00
4192,Bryan,RED BLUE,OVAL,TX,1979-09-15 18:00:00
4193,Mobile,,RECTANGLE,AL,1979-09-17 18:15:00
4194,Fayetteville,,CYLINDER,NC,1979-09-17 20:10:00
4195,Baltimore,,LIGHT,MD,1979-09-19 22:45:00
4196,Cape Elizabeth,,LIGHT,ME,1979-09-21 01:00:00
4197,Cottage Grove,,CIRCLE,MN,1979-09-25 20:30:00
4198,Monsey,,DISK,NY,1979-09-26 17:00:00
4199,New Brighton,,DISK,MN,1979-09-29 10:00:00
4200,Haltom Ciy,,TRIANGLE,TX,1979-09-29 17:00:00
4201,Sanford,,CIGAR,NC,1979-09-30 18:00:00
4202,Ballentine,,OVAL,SC,1979-09-30 19:00:00
4203,Joliet,,EGG,IL,1979-09-30 21:03:00
4204,Lomita,,DISK,CA,1979-10-01 16:00:00
4205,Columbia,,RECTANGLE,MD,1979-10-01 19:00:00
4206,Buffalo,,LIGHT,NY,1979-10-01 21:00:00
4207,Olympia,,DISK,WA,1979-10-01 21:00:00
4208,Pittsburgh,,DISK,PA,1979-10-01 21:00:00
4209,Cranbury,,LIGHT,NJ,1979-10-01 23:00:00
4210,Poughkeepsie,ORANGE,CHEVRON,NY,1979-10-10 00:00:00
4211,San Diego,,OVAL,CA,1979-10-10 22:00:00
4212,Security,,,CO,1979-10-10 22:00:00
4213,Barnegat,,RECTANGLE,NJ,1979-10-12 00:45:00
4214,Ellwood City,,,PA,1979-10-15 16:30:00
4215,Bemidji,,,MN,1979-10-15 19:35:00
4216,Gig Harbor,,CIRCLE,WA,1979-10-15 21:00:00
4217,Arcadia,,DISK,LA,1979-10-24 17:00:00
4218,Wausau,,FORMATION,WI,1979-11-01 13:30:00
4219,Meriden,,LIGHT,CT,1979-11-01 16:30:00
4220,Haltom City,,TRIANGLE,TX,1979-11-01 21:00:00
4221,Emerson,BLUE,RECTANGLE,NJ,1979-11-10 01:00:00
4222,Ypsilanti,,OTHER,MI,1979-11-10 21:00:00
4223,Wickenburg,,,AZ,1979-11-11 19:30:00
4224,Wickenburg,GREEN,LIGHT,AZ,1979-11-11 19:30:00
4225,Fort Lauderdale,,CIGAR,FL,1979-11-12 22:00:00
4226,Hatcreek Campground,,RECTANGLE,CA,1979-11-14 22:00:00
4227,Honolulu,BLUE,SPHERE,HI,1979-11-15 04:00:00
4228,Austin,,TRIANGLE,TX,1979-11-15 21:00:00
4229,Wassaic,,CIRCLE,NY,1979-11-15 22:30:00
4230,Detroit,,LIGHT,MI,1979-11-20 07:10:00
4231,Clarksburg,,DISK,WV,1979-11-22 23:00:00
4232,Ft. Jackson,,,SC,1979-11-30 01:00:00
4233,Water Valley,,CIGAR,MS,1979-12-01 01:00:00
4234,Arkansas,,FIREBALL,AR,1979-12-05 22:00:00
4235,Albuquerque,,CIRCLE,NM,1979-12-08 20:30:00
4236,Morris,,LIGHT,IL,1979-12-15 19:00:00
4237,Houlton,,TRIANGLE,ME,1979-12-20 22:00:00
4238,Waterloo,,,IA,1979-12-29 02:00:00
4239,Kansas City,BLUE,CIRCLE,MO,1979-12-31 22:35:00
4240,Spartanburg,,CIRCLE,SC,1979-12-31 23:00:00
4241,Indianapolis,GREEN,LIGHT,IN,1980-01-01 01:00:00
4242,Omaha,,OTHER,NE,1980-01-01 02:00:00
4243,Chicopee,,DIAMOND,MA,1980-01-01 23:30:00
4244,Oklahoma City,,OTHER,OK,1980-01-07 13:00:00
4245,Exeter,ORANGE YELLOW,DISK,NH,1980-01-10 00:00:00
4246,Wichita,RED,CIGAR,KS,1980-01-11 23:00:00
4247,Orinda,,SPHERE,CA,1980-01-12 23:00:00
4248,Albany,,DISK,IL,1980-01-15 22:00:00
4249,Pittsburgh,,OVAL,PA,1980-01-15 22:00:00
4250,Los Angeles,,DIAMOND,CA,1980-01-21 14:30:00
4251,Murphy,,SPHERE,CA,1980-01-22 02:00:00
4252,Virginia Beach,,CYLINDER,VA,1980-01-23 22:30:00
4253,Georgetown,,TRIANGLE,DE,1980-02-02 20:30:00
4254,Hollister,,EGG,CA,1980-02-15 22:00:00
4255,Canton,,LIGHT,NY,1980-02-17 19:10:00
4256,Bend,,OVAL,OR,1980-02-18 18:30:00
4257,Oxford,,CIGAR,CT,1980-03-01 00:30:00
4258,Bisbee,,OTHER,AZ,1980-03-01 18:00:00
4259,San Francisco,BLUE,LIGHT,CA,1980-03-01 18:30:00
4260,Patterson,,DISK,NJ,1980-03-01 21:00:00
4261,Homestead,,CIRCLE,FL,1980-03-14 20:00:00
4262,Wayland,YELLOW,LIGHT,MA,1980-03-15 01:00:00
4263,Concord,GREEN,OTHER,NH,1980-03-15 02:00:00
4264,Manassas,,DISK,VA,1980-03-15 16:30:00
4265,Morning Sun,,DISK,IA,1980-03-20 00:00:00
4266,Not Sure,,OTHER,NH,1980-03-20 02:00:00
4267,Paterson,,DISK,NJ,1980-03-20 20:00:00
4268,Westminster,RED,DISK,CO,1980-03-24 14:00:00
4269,Canoga Park,,DISK,CA,1980-03-31 19:15:00
4270,Costa Mesa,,VARIOUS,CA,1980-04-01 16:00:00
4271,Seattle,,TRIANGLE,WA,1980-04-05 00:00:00
4272,Alameda,,FIREBALL,CA,1980-04-10 19:50:00
4273,Middletown,RED,SPHERE,OH,1980-04-18 23:59:00
4274,Dayton,,CIGAR,OH,1980-04-20 14:00:00
4275,Pittsburg,,OVAL,CA,1980-05-01 00:00:00
4276,Seattle,,DISK,WA,1980-05-01 07:00:00
4277,Salt Lake City,,CYLINDER,UT,1980-05-01 12:00:00
4278,Los Angeles,,LIGHT,CA,1980-05-05 04:00:00
4279,Livermore,,DISK,CA,1980-05-05 18:00:00
4280,Gladstone,,LIGHT,MI,1980-05-10 10:30:00
4281,Gladstone,,LIGHT,MI,1980-05-10 10:30:00
4282,Milford,,OTHER,CT,1980-05-10 13:00:00
4283,Wilton,GREEN,LIGHT,CA,1980-05-10 20:00:00
4284,Raytown,,DISK,MO,1980-05-12 20:30:00
4285,Greenfield,,LIGHT,IN,1980-05-12 21:00:00
4286,Hat Creek,,RECTANGLE,CA,1980-05-15 01:00:00
4287,Eureka,,CIGAR,CA,1980-05-15 16:00:00
4288,Yonkers,,TRIANGLE,NY,1980-05-15 17:40:00
4289,Oklahoma City,,VARIOUS,OK,1980-05-15 20:00:00
4290,Oklahoma City,,VARIOUS,OK,1980-05-15 20:00:00
4291,St. Cloud,,OTHER,MN,1980-05-15 22:00:00
4292,Salt Lake City,,SPHERE,UT,1980-05-20 12:30:00
4293,Denver,RED,OVAL,CA,1980-05-20 13:00:00
4294,Little Rock,,,AR,1980-05-22 02:00:00
4295,Dekalb,,CIRCLE,IL,1980-05-25 23:00:00
4296,Alma,,,KS,1980-06-01 00:00:00
4297,Overton,,OTHER,TX,1980-06-01 00:00:00
4298,Rochester,,OTHER,WA,1980-06-01 00:00:00
4299,Parkersburg,,CIRCLE,WV,1980-06-01 05:00:00
4300,Oldtown,,SPHERE,ME,1980-06-01 09:00:00
4301,Victorville,,LIGHT,CA,1980-06-01 11:00:00
4302,Baadon,,VARIOUS,MI,1980-06-01 12:00:00
4303,Temple Terrace,,DISK,FL,1980-06-01 13:00:00
4304,Evansville,,CIRCLE,IN,1980-06-01 14:00:00
4305,Montgomery,,DISK,AL,1980-06-01 16:00:00
4306,Ethell,,OTHER,WA,1980-06-01 17:00:00
4307,Andover,,DISK,MN,1980-06-01 18:00:00
4308,Homedale,,FIREBALL,ID,1980-06-01 18:00:00
4309,Auxvasse,,DISK,MO,1980-06-01 19:00:00
4310,Hamburg,,SPHERE,NY,1980-06-01 19:00:00
4311,Bethel,,OTHER,CT,1980-06-01 20:00:00
4312,Greeneville,,TRIANGLE,TN,1980-06-01 20:00:00
4313,Ladue,,TRIANGLE,MO,1980-06-01 20:00:00
4314,Oroville,,SPHERE,CA,1980-06-01 20:00:00
4315,Port Wentworth,,CIGAR,GA,1980-06-01 20:30:00
4316,Birmingham,,TRIANGLE,AL,1980-06-01 21:00:00
4317,Gray,,OTHER,GA,1980-06-01 21:00:00
4318,Newport,,,AR,1980-06-01 21:00:00
4319,Houston,,OTHER,TX,1980-06-01 21:30:00
4320,Marlow Heights,,LIGHT,MD,1980-06-01 22:00:00
4321,Morganton,,LIGHT,NC,1980-06-01 22:00:00
4322,Willard,,,OH,1980-06-01 22:00:00
4323,Algonquin,,DISK,IL,1980-06-01 23:00:00
4324,Warminster,,DISK,PA,1980-06-01 23:00:00
4325,Lake Forest,,TRIANGLE,IL,1980-06-03 15:00:00
4326,Darien,,,IL,1980-06-05 01:00:00
4327,Tucson,,DIAMOND,AZ,1980-06-08 16:00:00
4328,Seattle,,DISK,WA,1980-06-10 05:30:00
4329,Seiling,,CIRCLE,OK,1980-06-10 21:00:00
4330,Middle Valley,YELLOW,TRIANGLE,TN,1980-06-12 01:00:00
4331,Barnsdall,,OTHER,OK,1980-06-15 00:00:00
4332,Yacolt,,DISK,WA,1980-06-15 10:00:00
4333,Wapello,,CIRCLE,IA,1980-06-15 10:30:00
4334,Mentor,,DISK,OH,1980-06-15 18:00:00
4335,Columbia,,LIGHT,MO,1980-06-15 20:00:00
4336,Point Mugu,,LIGHT,CA,1980-06-15 21:00:00
4337,Sterling,,DISK,VA,1980-06-15 21:00:00
4338,Nashville,,TRIANGLE,TN,1980-06-15 21:42:00
4339,San Francisco,,DISK,CA,1980-06-15 21:45:00
4340,El Paso,,LIGHT,TX,1980-06-15 22:00:00
4341,Waterford,,OTHER,MI,1980-06-15 23:00:00
4342,Bridgeton,,CIRCLE,NJ,1980-06-20 20:00:00
4343,Philadelphia,,SPHERE,PA,1980-06-23 20:00:00
4344,Mount Weather,,,VA,1980-06-24 14:00:00
4345,Cave Junction,,,OR,1980-06-25 10:00:00
4346,Parma,,,ID,1980-06-26 19:00:00
4347,Clinton,,RECTANGLE,MO,1980-06-30 00:00:00
4348,Phoenix,,,AZ,1980-06-30 00:00:00
4349,North Lauderdale,,OTHER,FL,1980-06-30 04:00:00
4350,Hollister,,DISK,CA,1980-06-30 09:00:00
4351,South Lake Tahoe,,LIGHT,CA,1980-06-30 19:00:00
4352,Tampa,,CIRCLE,FL,1980-06-30 21:30:00
4353,Athens,,LIGHT,TX,1980-06-30 22:00:00
4354,Grand Rivers,BLUE,FLASH,KY,1980-06-30 23:00:00
4355,Del Mar,BLUE,,CA,1980-07-01 00:00:00
4356,Parm,RED,SPHERE,OH,1980-07-01 00:00:00
4357,Caldwell,,TRIANGLE,WI,1980-07-01 01:00:00
4358,Tracy,,TRIANGLE,CA,1980-07-01 02:00:00
4359,Black Earth,ORANGE,OVAL,WI,1980-07-01 21:00:00
4360,Plainfield,,CIRCLE,CT,1980-07-01 21:30:00
4361,Rapid City,GREEN,TRIANGLE,MI,1980-07-04 21:00:00
4362,St. Paul,,OVAL,MN,1980-07-04 22:00:00
4363,Forest Park,,DISK,GA,1980-07-06 21:00:00
4364,Hudson,,,MA,1980-07-07 08:30:00
4365,Louisville,,CIGAR,KY,1980-07-08 02:00:00
4366,Louisville,,CIGAR,KY,1980-07-08 04:00:00
4367,Town of Preble,,LIGHT,NY,1980-07-10 15:00:00
4368,Norwalk,,OVAL,CT,1980-07-10 21:00:00
4369,Knife River,,,MN,1980-07-10 22:00:00
4370,Ridgefield,,SPHERE,WA,1980-07-10 23:00:00
4371,San Andreas,,,CA,1980-07-11 11:00:00
4372,Hardwick,,CYLINDER,VT,1980-07-13 00:00:00
4373,Hamburg,,TRIANGLE,NY,1980-07-14 23:00:00
4374,Moline,,DISK,IL,1980-07-15 02:00:00
4375,Miami,,TRIANGLE,FL,1980-07-15 06:00:00
4376,Buffalo,,OVAL,NY,1980-07-15 08:30:00
4377,Conroe,,LIGHT,TX,1980-07-15 21:00:00
4378,Valencia,,DISK,CA,1980-07-15 21:00:00
4379,Fort Mill,RED,LIGHT,SC,1980-07-15 22:00:00
4380,Omaha,,OVAL,NE,1980-07-15 22:00:00
4381,Salt Lake City,,LIGHT,UT,1980-07-15 23:00:00
4382,Fleetville,,DISK,PA,1980-07-16 10:00:00
4383,Seattle,,CYLINDER,WA,1980-07-16 13:40:00
4384,North Platte,,FORMATION,NE,1980-07-17 22:10:00
4385,Benton Harbor,,CIGAR,MI,1980-07-20 01:00:00
4386,no data,,TRIANGLE,FL,1980-07-20 13:00:00
4387,Cleveland,RED YELLOW,OVAL,OH,1980-07-20 21:00:00
4388,Exeter,,CIGAR,CA,1980-07-21 14:00:00
4389,Exeter,,CIGAR,CA,1980-07-21 22:00:00
4390,Pecos,,TRIANGLE,NM,1980-07-22 23:00:00
4391,Gresham,,SPHERE,OR,1980-07-29 23:15:00
4392,Henrietta,,OTHER,NY,1980-07-30 20:30:00
4393,Clinton,,OVAL,ME,1980-07-30 22:00:00
4394,San Antonio,,DISK,TX,1980-08-01 08:00:00
4395,Kendall,,CIGAR,FL,1980-08-01 20:00:00
4396,Barrington,,TRIANGLE,IL,1980-08-01 23:00:00
4397,Bremham,,CHEVRON,TX,1980-08-01 23:30:00
4398,Maricopa,,OTHER,AZ,1980-08-05 21:00:00
4399,Glennallen,,RECTANGLE,AK,1980-08-05 23:15:00
4400,Tillamook,,RECTANGLE,OR,1980-08-07 01:00:00
4401,Tullahoma,,LIGHT,TN,1980-08-08 20:00:00
4402,Taunton,,DISK,MA,1980-08-12 17:45:00
4403,Honolulu,,RECTANGLE,HI,1980-08-12 19:00:00
4404,Bandon,,DISK,OR,1980-08-12 22:00:00
4405,Arthur,,LIGHT,NE,1980-08-15 17:30:00
4406,Bend,,,OR,1980-08-15 20:00:00
4407,Bricktown,,FORMATION,NJ,1980-08-15 20:00:00
4408,Apollo,,SPHERE,PA,1980-08-15 20:30:00
4409,Glenndale,,CIRCLE,MD,1980-08-15 23:00:00
4410,Detroit,,DISK,MI,1980-08-15 23:30:00
4411,Pine Springs,,LIGHT,TX,1980-08-16 23:30:00
4412,Clarksfield,,CIGAR,OH,1980-08-18 21:30:00
4413,Edwards,,CHEVRON,NY,1980-08-20 01:00:00
4414,Gifford Pinchot National Forrest,,DISK,WA,1980-08-20 21:00:00
4415,Kent,,TEARDROP,WA,1980-08-22 18:00:00
4416,Rush City,,,MN,1980-08-30 16:00:00
4417,Maquoketa,,,IA,1980-08-30 20:00:00
4418,Concordia,,SPHERE,MO,1980-09-01 17:00:00
4419,Hansville,,DISK,WA,1980-09-01 20:15:00
4420,Kansas City,,SPHERE,MO,1980-09-03 21:25:00
4421,Orlando,,RECTANGLE,FL,1980-09-04 17:30:00
4422,Morgan Hill,,DISK,CA,1980-09-05 17:00:00
